domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C2_sum,tightness,C3_minps,minps_ratio,span
GraphColouring,0094-wgc-n80-d30-p89.asp,11545,2574,4.485237,20.117351,90.231086,0.222954,0.049708,0.011083,0.013945,0.804677,0.0,0.972109,2013,0.181291,0.804764,0.804764,CLINGO-AMO,0.55636,1.217314328851823,4560.0,7520.0,0.6063829787234043,160.0,28.5,4960.0
GraphColouring,0097-wgc-n80-d30-p48.asp,11917,2636,4.520865,20.43822,92.398432,0.221197,0.048928,0.010823,0.01351,0.805572,0.0,0.97298,2075,0.180834,0.805656,0.805656,EOCLINGO-L,0.696549,1.573437044630026,2505.0,7520.0,0.33311170212765956,160.0,15.65625,4960.0
GraphColouring,0098-wgc-n80-d30-p61.asp,11629,2588,4.493431,20.190924,90.726529,0.222547,0.049527,0.011022,0.013845,0.804884,0.0,0.972311,2027,0.181185,0.80497,0.80497,EOCLINGO-L,0.679085,1.2335230493973508,3151.0,7520.0,0.41901595744680853,160.0,19.69375,4960.0
GraphColouring,0099-wgc-n80-d30-p51.asp,11377,2546,4.468578,19.968191,89.229421,0.223785,0.05008,0.011207,0.014151,0.804254,0.0,0.971697,1985,0.181507,0.804342,0.804342,EOCLINGO-L,0.6821,1.353445242633045,2660.0,7520.0,0.3537234042553192,160.0,16.625,4960.0
GraphColouring,0100-wgc-n80-d30-p59.asp,11665,2594,4.496916,20.222253,90.937773,0.222375,0.04945,0.010997,0.013802,0.804972,0.0,0.972396,2033,0.18114,0.805058,0.805058,EOCLINGO-L,0.683021,1.577731870615984,3046.0,7520.0,0.4050531914893617,160.0,19.0375,4960.0
GraphColouring,0103-wgc-n80-d50-p58.asp,19741,3940,5.010406,25.104169,125.782082,0.199585,0.039834,0.00795,0.008156,0.816575,0.0,0.983689,3379,0.175219,0.816625,0.816625,CLINGO-AMO,0.540516,1.4966291469632722,3018.0,7520.0,0.40132978723404256,160.0,18.8625,4960.0
GraphColouring,0109-wgc-n80-d50-p88.asp,19429,3888,4.997171,24.971716,124.787929,0.200113,0.040045,0.008014,0.008287,0.816306,0.0,0.983427,3327,0.175356,0.816357,0.816357,CLINGO-AMO,0.539613,1.4816840958242297,4541.0,7520.0,0.6038563829787233,160.0,28.38125,4960.0
GraphColouring,0110-wgc-n80-d50-p60.asp,19429,3888,4.997171,24.971716,124.787929,0.200113,0.040045,0.008014,0.008287,0.816306,0.0,0.983427,3327,0.175356,0.816357,0.816357,CLINGO-AMO,0.6327320000000001,1.2678827686919578,3074.0,7520.0,0.40877659574468084,160.0,19.2125,4960.0
GraphColouring,0115-wgc-n80-d70-p49.asp,27577,5246,5.256767,27.6336,145.263398,0.190231,0.036188,0.006884,0.005838,0.821337,0.0,0.988324,4685,0.172789,0.821373,0.821373,CLINGO-AMO,0.659452,1.4134175042307855,2519.0,7520.0,0.33497340425531913,160.0,15.74375,4960.0
GraphColouring,0118-wgc-n80-d70-p51.asp,27205,5184,5.247878,27.540224,144.52774,0.190553,0.036311,0.006919,0.005918,0.821173,0.0,0.988164,4623,0.172873,0.821209,0.821209,CLINGO-AMO,0.625792,1.4817575168746164,2653.0,7520.0,0.3527925531914894,160.0,16.58125,4960.0
GraphColouring,0122-wgc-n100-d30-p79.asp,18361,3870,4.744444,22.509753,106.796273,0.210773,0.044425,0.009364,0.010947,0.810958,0.0,0.978106,3169,0.17804,0.811012,0.811012,CLINGO-AMO,0.501551,1.594685286242077,5061.0,9400.0,0.5384042553191489,200.0,25.305,6200.0
GraphColouring,0123-wgc-n100-d30-p48.asp,18709,3928,4.762984,22.686014,108.053114,0.209952,0.04408,0.009255,0.010743,0.811374,0.0,0.978513,3227,0.177829,0.811428,0.811428,EOCLINGO-L,0.987596,1.7521051118068522,3116.0,9400.0,0.33148936170212767,200.0,15.58,6200.0
GraphColouring,0123-wgc-n100-d30-p78.asp,18709,3928,4.762984,22.686014,108.053114,0.209952,0.04408,0.009255,0.010743,0.811374,0.0,0.978513,3227,0.177829,0.811428,0.811428,CLINGO-AMO,0.592754,1.341279856399113,4992.0,9400.0,0.531063829787234,200.0,24.96,6200.0
GraphColouring,0124-wgc-n100-d30-p39.asp,18517,3896,4.752823,22.58933,107.363098,0.210401,0.044269,0.009314,0.010855,0.811147,0.0,0.97829,3195,0.177945,0.811201,0.811201,EOCLINGO-L,0.79864,281.8545464790143,2501.0,9400.0,0.26606382978723403,200.0,12.505,6200.0
GraphColouring,0124-wgc-n100-d30-p50.asp,18517,3896,4.752823,22.58933,107.363098,0.210401,0.044269,0.009314,0.010855,0.811147,0.0,0.97829,3195,0.177945,0.811201,0.811201,EOCLINGO-L,0.944346,1.535432987485519,3208.0,9400.0,0.34127659574468083,200.0,16.04,6200.0
GraphColouring,0124-wgc-n100-d30-p79.asp,18517,3896,4.752823,22.58933,107.363098,0.210401,0.044269,0.009314,0.010855,0.811147,0.0,0.97829,3195,0.177945,0.811201,0.811201,CLINGO-AMO,0.554518,1.4401732675945598,5079.0,9400.0,0.5403191489361702,200.0,25.395,6200.0
GraphColouring,0126-wgc-n100-d30-p11.asp,18445,3884,4.74897,22.552717,107.102181,0.210572,0.044341,0.009337,0.010897,0.81106,0.0,0.978205,3183,0.177989,0.811114,0.811114,WASP-AMO,0.539198,1.4652687880889763,761.0,9400.0,0.08095744680851064,200.0,3.805,6200.0
GraphColouring,0126-wgc-n100-d30-p60.asp,18445,3884,4.74897,22.552717,107.102181,0.210572,0.044341,0.009337,0.010897,0.81106,0.0,0.978205,3183,0.177989,0.811114,0.811114,EOCLINGO-L,0.798372,1.6898726408240772,3885.0,9400.0,0.41329787234042553,200.0,19.425,6200.0
GraphColouring,0127-wgc-n100-d30-p39.asp,18625,3914,4.758559,22.643884,107.752258,0.210148,0.044162,0.009281,0.010792,0.811275,0.0,0.978416,3213,0.177879,0.811329,0.811329,EOCLINGO-L,4.54554,2.0668508032049,2517.0,9400.0,0.26776595744680853,200.0,12.585,6200.0
GraphColouring,0127-wgc-n100-d30-p50.asp,18625,3914,4.758559,22.643884,107.752258,0.210148,0.044162,0.009281,0.010792,0.811275,0.0,0.978416,3213,0.177879,0.811329,0.811329,EOCLINGO-L,0.911763,1.6647725340905477,3210.0,9400.0,0.3414893617021277,200.0,16.05,6200.0
GraphColouring,0128-wgc-n100-d30-p58.asp,18397,3876,4.746388,22.528199,106.927576,0.210687,0.044389,0.009352,0.010926,0.811002,0.0,0.978149,3175,0.178018,0.811056,0.811056,EOCLINGO-L,0.814269,1.8180183698507493,3747.0,9400.0,0.39861702127659576,200.0,18.735,6200.0
GraphColouring,0128-wgc-n100-d30-p79.asp,18397,3876,4.746388,22.528199,106.927576,0.210687,0.044389,0.009352,0.010926,0.811002,0.0,0.978149,3175,0.178018,0.811056,0.811056,CLINGO-AMO,0.5705020000000001,1.3936813543160234,5116.0,9400.0,0.5442553191489362,200.0,25.58,6200.0
GraphColouring,0129-wgc-n100-d30-p38.asp,18409,3878,4.747035,22.534337,106.971277,0.210658,0.044377,0.009348,0.010919,0.811016,0.0,0.978163,3177,0.178011,0.811071,0.811071,EOCLINGO-L,0.792297,178.38227457632678,2451.0,9400.0,0.26074468085106384,200.0,12.255,6200.0
