domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time
GraphColouring,0004-wgc-n20-d30-p10.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.086713
GraphColouring,0004-wgc-n20-d30-p20.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.085228
GraphColouring,0004-wgc-n20-d30-p28.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.088409
GraphColouring,0004-wgc-n20-d30-p39.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.08292
GraphColouring,0004-wgc-n20-d30-p50.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,AMOCLINGO-L,0.509484
GraphColouring,0004-wgc-n20-d30-p61.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,EOCLINGO-INF-MR,0.5070209999999999
GraphColouring,0004-wgc-n20-d30-p71.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.319608
GraphColouring,0004-wgc-n20-d30-p80.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.087648
GraphColouring,0004-wgc-n20-d30-p89.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.095041
GraphColouring,0005-wgc-n20-d30-p10.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.083969
GraphColouring,0005-wgc-n20-d30-p18.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.083139
GraphColouring,0005-wgc-n20-d30-p29.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.083454
GraphColouring,0005-wgc-n20-d30-p40.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.085001
GraphColouring,0005-wgc-n20-d30-p49.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,EOCLINGO-INF-MR,0.509286
GraphColouring,0005-wgc-n20-d30-p60.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.2478479999999999
GraphColouring,0005-wgc-n20-d30-p70.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.168118
GraphColouring,0005-wgc-n20-d30-p79.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.090282
GraphColouring,0005-wgc-n20-d30-p91.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.091526
GraphColouring,0006-wgc-n20-d30-p11.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.084527
GraphColouring,0006-wgc-n20-d30-p21.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.08523
GraphColouring,0006-wgc-n20-d30-p28.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.085886
GraphColouring,0006-wgc-n20-d30-p40.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.083347
GraphColouring,0006-wgc-n20-d30-p48.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.085476
GraphColouring,0006-wgc-n20-d30-p58.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,AMOCLINGO-L,0.504234
GraphColouring,0006-wgc-n20-d30-p69.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.190911
GraphColouring,0006-wgc-n20-d30-p79.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,WASP-AMO,0.138419
GraphColouring,0006-wgc-n20-d30-p90.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.105745
GraphColouring,0007-wgc-n20-d30-p11.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.083507
GraphColouring,0007-wgc-n20-d30-p18.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.083631
GraphColouring,0007-wgc-n20-d30-p29.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.083758
GraphColouring,0007-wgc-n20-d30-p40.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.084458
