domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0127-wgc-n100-d30-p39.asp,18625,3914,4.758559,22.643884,107.752258,0.210148,0.044162,0.009281,0.010792,0.811275,0.0,0.978416,3213,0.177879,0.811329,0.811329,AMOCLINGO-L,2.631647,1.7272605330426154,2517.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.39328125,12.585,0.26776595744680853
GraphColouring,0128-wgc-n100-d30-p79.asp,18397,3876,4.746388,22.528199,106.927576,0.210687,0.044389,0.009352,0.010926,0.811002,0.0,0.978149,3175,0.178018,0.811056,0.811056,CLINGO-AMO,0.5705020000000001,1.3840109237128002,5116.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.799375,25.58,0.5442553191489362
GraphColouring,0129-wgc-n100-d30-p38.asp,18409,3878,4.747035,22.534337,106.971277,0.210658,0.044377,0.009348,0.010919,0.811016,0.0,0.978163,3177,0.178011,0.811071,0.811071,EOCLINGO-L,0.792297,9.584012056085026,2451.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.38296875,12.255,0.26074468085106384
GraphColouring,0129-wgc-n100-d30-p51.asp,18409,3878,4.747035,22.534337,106.971277,0.210658,0.044377,0.009348,0.010919,0.811016,0.0,0.978163,3177,0.178011,0.811071,0.811071,EOCLINGO-L,0.871474,1.3323931637662167,3298.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.5153125,16.49,0.35085106382978726
GraphColouring,0131-wgc-n100-d50-p58.asp,29749,5768,5.157594,26.600772,137.195972,0.193889,0.037593,0.007289,0.006757,0.819523,0.0,0.986487,5067,0.173687,0.819557,0.819557,CLINGO-AMO,0.7126279999999999,1.367491875143834,3767.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.58859375,18.835,0.40074468085106385
GraphColouring,0133-wgc-n100-d50-p60.asp,30301,5860,5.170819,26.73737,138.254105,0.193393,0.037401,0.007233,0.006633,0.819775,0.0,0.986733,5159,0.173559,0.819808,0.819808,CLINGO-AMO,0.755329,1.3094095420670993,3841.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.60015625,19.205,0.40861702127659577
GraphColouring,0134-wgc-n100-d50-p9.asp,30577,5906,5.177277,26.804201,138.772781,0.193152,0.037308,0.007206,0.006574,0.819897,0.0,0.986853,5205,0.173496,0.81993,0.81993,WASP-AMO,0.6338959999999999,1.5564035740878632,598.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.0934375,2.99,0.06361702127659574
GraphColouring,0135-wgc-n100-d50-p29.asp,30925,5964,5.185278,26.887111,139.417156,0.192854,0.037193,0.007173,0.0065,0.820049,0.0,0.987001,5263,0.17342,0.820081,0.820081,EOCLINGO-L,12.320112,2.3177948382287434,1856.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.29,9.28,0.1974468085106383
GraphColouring,0138-wgc-n100-d50-p68.asp,30805,5944,5.182537,26.85869,139.196154,0.192956,0.037232,0.007184,0.006525,0.819997,0.0,0.98695,5243,0.173446,0.820029,0.820029,CLINGO-AMO,0.724558,1.3685667676017654,4415.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.68984375,22.075,0.4696808510638298
GraphColouring,0139-wgc-n100-d50-p69.asp,30793,5942,5.182262,26.855838,139.173985,0.192966,0.037236,0.007185,0.006527,0.819992,0.0,0.986945,5241,0.173449,0.820024,0.820024,CLINGO-AMO,0.7438,1.3306426458725462,4437.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.69328125,22.185,0.47202127659574467
GraphColouring,0140-wgc-n100-d50-p21.asp,30877,5956,5.184184,26.875764,139.328906,0.192894,0.037208,0.007177,0.00651,0.820028,0.0,0.986981,5255,0.17343,0.82006,0.82006,EOCLINGO-L,0.997689,3.2366398747505483,1378.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.2153125,6.89,0.14659574468085107
GraphColouring,0140-wgc-n100-d50-p31.asp,30877,5956,5.184184,26.875764,139.328906,0.192894,0.037208,0.007177,0.00651,0.820028,0.0,0.986981,5255,0.17343,0.82006,0.82006,EOCLINGO-L,1.462456,1.2145541472700718,1999.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.31234375,9.995,0.21265957446808512
GraphColouring,0140-wgc-n100-d50-p9.asp,30877,5956,5.184184,26.875764,139.328906,0.192894,0.037208,0.007177,0.00651,0.820028,0.0,0.986981,5255,0.17343,0.82006,0.82006,WASP-AMO,0.769688,1.2868292087183375,578.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.0903125,2.89,0.06148936170212766
GraphColouring,0141-wgc-n100-d70-p21.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,EOCLINGO-L,1.186192,1.883908338616345,1394.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.2178125,6.97,0.14829787234042552
GraphColouring,0141-wgc-n100-d70-p50.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.951165,1.2393401775717146,3200.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.5,16.0,0.3404255319148936
