folder,instance,config,runsolver_user_time,runsolver_system_time,cpu_time
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0080-wgc-n60-d50-p38.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",1.4065,0.092109,1.498609
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0076-wgc-n60-d50-p48.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",0.680095,0.079343,0.7594380000000001
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0105-wgc-n80-d50-p41.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",2.76937,0.064059,2.8334289999999998
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0105-wgc-n80-d50-p10.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",1.01412,0.104799,1.118919
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0065-wgc-n60-d30-p78.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",0.596945,0.041463,0.638408
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0047-wgc-n40-d50-p40.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",0.532946,0.05846,0.591406
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0052-wgc-n40-d70-p18.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",105.702,0.074645,105.776645
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0122-wgc-n100-d30-p9.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",0.770325,0.088234,0.8585590000000001
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0010-wgc-n20-d30-p88.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",0.445742,0.065707,0.511449
AMOSUM_GraphColouring_old,/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/training-instances-gc/0112-wgc-n80-d70-p28.asp,"sh -c 'amoclingo -e=/home/guests/mmacri/AMOSUM/benchmarks/GraphColouring/encoding-amosum-amo.asp -l=false -m=minfly -lg=cpp -i=""$0""'",5.47315,0.092971,5.566121000000001
